selected_text;sentiment
Sooo SAD;negative
bullying me;negative
leave me alone;negative
Sons of ****,;negative
fun;positive
Wow... u just became cooler.;positive
like;positive
DANGERously;negative
lost;negative
Uh oh, I am sunburned;negative
*sigh*;negative
sick;negative
onna;negative
interesting.;positive
the free fillin` app on my ipod is fun, im addicted;positive
I`m sorry.;negative
.no internet;negative
Power back up not working too;negative
Quite....heavenly;positive
hope;positive
well so much for being unhappy for about 10 minute;negative
funny.;positive
miss;negative
soooooo sleeeeepy!!!;negative
A little happy fo;positive
avid fan of;positive
I love to!;positive
SUCKKKKKK;negative
dont like go;negative
d I`m not thrilled at all with mine.;negative
it is ****...u have dissappointed me that past few days;negative
romance zero is funny;positive
hurts;negative
Torn ace of hearts;negative
i lost all my friends, i`m alone and sleepy..;negative
I give in to easily;negative
favorite;positive
jealous..;negative
s awesome;positive
Chilliin;positive
better;positive
BADDD.;negative
I am sooo tired;negative
THANK YYYYYYYYYOOOOOOOOOOUUUUU!;positive
lucky;positive
Sick.;negative
, sorry guys;negative
Happy Star Wars day everyone! and Enjoy the holiday (UK);positive
i miss you bby;negative
cool;positive
Love it there;positive
tired;negative
Happy Mothers day to all you Mums out there;positive
freaked;negative
unfortunately;negative
best;positive
Pretty;positive
horrible,;negative
busy;negative
Awesome.;positive
thanks;positive
safe;positive
I wish I was allowed to go;positive
Thank you,;positive
I love my;positive
I don`t feel confident;negative
sad.;negative
hahaa your awesomee !;positive
awesomeeeee;positive
Not looking forward;negative
Poor you;negative
not well;negative
Not a prob;positive
y adore;positive
good;positive
I love him too;positive
painful.;negative
sad?;negative
e nice;positive
i wish;positive
missed all the awesome weather,;negative
terrible!;negative
Unfortunatley,;negative
That sucks, tho.;negative
Hate fighting;negative
Car-warmed Sprite tastes like sore throat;negative
enjoyable.;positive
endearing-;positive
goooooddd morning tweets!!;positive
hate;negative
fine!;positive
i don`t like the other ones.;negative
Bugger. forgot I still have washing in my machine;negative
sending love, blessings & healing thoughts to you & family  peace;positive
.really bad;negative
brutal;negative
boring;negative
p sounds like fun;positive
great;positive
excited;positive
good morning;positive
its the best show EVER!;positive
messed;negative
NOT THE SECRET NAMEREBECCA PLEASE;negative
miss;negative
illness;negative
i totally loved it!;positive
i <3 you. u helped me thru the hrdest time of my life!;positive
sad;negative
sick!;negative
oww;negative
happy 1 year! <3;positive
Goooooooooooood Morrrrrrrrning;positive
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!;negative
This diet is killing me;negative
bored..;negative
e fun;positive
lost my voice;negative
hate;negative
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy;negative
headache;negative
happy;positive
going to have fun;positive
d thank you!;positive
HAHAHA;positive
crush;positive
Feeling smooth;positive
Ew traffic;negative
I hate not having a bike..;negative
This is worse than taxes.;negative
JONAS BROTHERS - Live to party.                It`s rocking so hard;positive
happy;positive
would love to test it though.;positive
Fun night!;positive
I thought Wolverine was awesome.;positive
Hopefully;positive
Happy;positive
luv;positive
that`s why I need to be there;positive
,ahaha;positive
I`m not sleeping at all un;negative
Seriously,;negative
died.;positive
not going to well!;negative
hopefully;positive
g harmed;negative
what an amazing day.;positive
Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning;positive
were amazing tonight..;positive
hope;positive
it hurts too much...;positive
GREAT;positive
Happy b-day!;positive
thank;positive
HAPPY;positive
glad;positive
Thanks;positive
Its too nice;positive
depressed;negative
Happy Mothers Day people. i love my mom a lot still;positive
sorry;negative
, he was soooo friendly.;positive
happy;positive
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...;negative
miss;negative
chocked;negative
.it`s gorgeous out!;positive
m worried;negative
Im not bannished.;negative
tonight in party w/ my girls (minus vita);positive
amazing;positive
glad;positive
I have missed them;negative
as wort;positive
better;positive
Ship. I`m stuck.;negative
Cannot wait;positive
shame;negative
Definitely pinched a nerve.;negative
exhausting!;negative
Sorry;negative
im sad it very hurts;negative
Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love;positive
I`m broke;negative
it was amazin;positive
now a migraine.;negative
?sucks!?..;negative
doing pretty well,;positive
I Miss Daddy and Mommy;negative
officially depressed;negative
exciting!;positive
That sucks!;negative
bored;negative
I am lost.;negative
bad;negative
oh nice going!;positive
partying;positive
i agree with you!;positive
Am hopeless at everything else;negative
perfect ma;positive
thanks!;positive
